Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
03/20/1966,01:42:53,0.622,29.863,Earthquake,29.3,,,6.6,MW,,,,,,,ISCGEM849400,ISCGEM,ISCGEM,ISCGEM,Automatic
03/20/1966,09:04:25,-21.176,-174.429,Earthquake,25,,,5.6,MW,,,,,,,ISCGEM849416,ISCGEM,ISCGEM,ISCGEM,Automatic
03/22/1966,08:11:37,37.535,115.039,Earthquake,20,,,6.2,MW,,,,,,,ISCGEM849479,ISCGEM,ISCGEM,ISCGEM,Automatic
03/22/1966,08:19:36,37.545,115.061,Earthquake,20,,,6.8,MW,,,,,,,ISCGEM849480,ISCGEM,ISCGEM,ISCGEM,Automatic
03/23/1966,00:04:36,23.973,122.938,Earthquake,49.5,,,6.2,MW,,,,,,,ISCGEM849501,ISCGEM,ISCGEM,ISCGEM,Automatic
03/24/1966,08:27:51,-13.626,166.829,Earthquake,30,,,5.9,MW,,,,,,,ISCGEMSUP849541,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
03/26/1966,15:19:04,37.714,115.275,Earthquake,20,,,6,MW,,,,,,,ISCGEM849601,ISCGEM,ISCGEM,ISCGEM,Automatic
03/26/1966,18:14:22,37.798,115.096,Earthquake,20,,,5.9,MW,,,,,,,ISCGEM849603,ISCGEM,ISCGEM,ISCGEM,Automatic
03/27/1966,18:53:41,8.865,-83.467,Earthquake,25,,,5.7,MW,,,,,,,ISCGEM849641,ISCGEM,ISCGEM,ISCGEM,Automatic
03/29/1966,02:17:40,23.869,142.248,Earthquake,80,,,6,MW,,,,,,,ISCGEM849682,ISCGEM,ISCGEM,ISCGEM,Automatic
03/29/1966,06:12:00,37.464,115.127,Earthquake,20,,,6,MW,,,,,,,ISCGEM849686,ISCGEM,ISCGEM,ISCGEM,Automatic
04/03/1966,04:43:39,36.617,141.121,Earthquake,48.5,,,5.7,MW,,,,,,,ISCGEM848041,ISCGEM,ISCGEM,ISCGEM,Automatic
04/04/1966,06:42:13,12.01,92.483,Earthquake,10,,,5.8,MW,,,,,,,ISCGEM848084,ISCGEM,ISCGEM,ISCGEM,Automatic
04/06/1966,02:59:01,-45.685,96.003,Earthquake,10,,,6.3,MW,,,,,,,ISCGEM848136,ISCGEM,ISCGEM,ISCGEM,Automatic
04/06/1966,22:28:38,56.382,-154.604,Earthquake,26.2,,,5.6,MW,,,,,,,ISCGEM848162,ISCGEM,ISCGEM,ISCGEM,Automatic
04/07/1966,09:42:34,26.199,127.507,Earthquake,49.7,,,5.7,MW,,,,,,,ISCGEM848174,ISCGEM,ISCGEM,ISCGEM,Automatic
04/08/1966,01:46:46,51.301,157.703,Earthquake,46.6,,,6.2,MW,,,,,,,ISCGEM848199,ISCGEM,ISCGEM,ISCGEM,Automatic
04/09/1966,02:42:09,9.409,-84.282,Earthquake,25,,,5.8,MW,,,,,,,ISCGEM848237,ISCGEM,ISCGEM,ISCGEM,Automatic
04/09/1966,14:49:25,-14.074,166.724,Earthquake,55,,,5.7,MW,,,,,,,ISCGEM848256,ISCGEM,ISCGEM,ISCGEM,Automatic
04/10/1966,16:36:16,-31.452,-71.049,Earthquake,60.5,,,6.1,MW,,,,,,,ISCGEM848290,ISCGEM,ISCGEM,ISCGEM,Automatic
04/11/1966,17:17:30,18.113,-102.557,Earthquake,30,,,5.7,MW,,,,,,,ISCGEM848314,ISCGEM,ISCGEM,ISCGEM,Automatic
04/12/1966,23:37:42,-38.231,-72.695,Earthquake,35,,,6.3,MW,,,,,,,ISCGEM848349,ISCGEM,ISCGEM,ISCGEM,Automatic
04/13/1966,03:35:18,-38.194,-73.198,Earthquake,45,,,5.9,MW,,,,,,,ISCGEM848355,ISCGEM,ISCGEM,ISCGEM,Automatic
04/16/1966,01:27:14,56.896,-153.601,Earthquake,15,,,6.2,MW,,,,,,,ISCGEM848441,ISCGEM,ISCGEM,ISCGEM,Automatic
